plot_code,Plot_Name,RAINFOR_site_code,Latitude,Longitude,Elevation (m),Slope (deg),Aspect (deg),Solar radiation (GJ m-2 yr-1),Mean annual air temperature (degC),Precipitation (mm yr-1),Soil moisture (%) ,Vegetation height (m),AG vegetation biomass,Soil type,Ptotal (mg kg-1),Soil total N (%),Soil total C (%),plot_code,match,plot_code,mean_n_percent,var_n_percent,mean_sla_lamina_petiole,var_sla_lamina_petiole,,var_sla_lamina_petiole,mean_sla_lamina,,mean_p_percent,var_p_percent,mean_photosynthesis,var_photosynthesis,mean_air_temp,var_air_temp,GPP,GPP_estimated,GPP_Error,NPP,NPP_error,plot_code,Plot_Name,RAINFOR_site_code,CUE,NPPCanopyAllocation,NPPWoodAllocation,NPPRoot Allocation,NPPCanopy,NPPLeaf,NPPHerbivory,NPPACW,NPPBranchTurnover,NPPCoarseroot,NPPFineroot,Ra,RLeaf,RStem,Rrhizosphere,Rcoarseroot,Aboveground_biomass,Residence_time
ACJ-01,Acjanaco I,ACJ-01,-13.14689,-71.6323,3537,36.3,104,NA,9,1980,NA,12.5,NA,Cambisol,NA,NA,NA,ACJ-01,ACJ-01,ACJ-01,2.336923077,0.235124504,0.00685648,8.77E-06,NA,8.77E-06,0.007060886,ACJ-01,0.11308127,0.001337251,11.0750389,22.52813419,15.10454715,0.066323723,NA,1.72725,NA,5.25,NA,ACJ-01,Acjanaco I,ACJ-01,NA,0.42,0.365714286,0.215238095,2.91,2.2,NA,1.92,1.92,NA,1.13,NA,NA,4.7,NA,NA,NA,NA
AlpA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AlpA,NA,NA,NA,NA,NA,NA,NA,NA,ESP-01,NA,NA,NA,NA,NA,NA,39.05,39.05,4.59,12.21,0.96,AlpA,AlpA,NA,NA,0.38,0.36790738,0.247269393,4.7,2.68,0.5,2.54,1.42,0.5334,3.02,24.92,8.92,9.63,4.44,1.93,130.4,51.33858268
AlpC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AlpC,NA,NA,NA,NA,NA,NA,NA,NA,PAN-02,NA,NA,NA,NA,NA,NA,41.88,41.88,4.6,14.27,0.95,AlpC,AlpC,NA,NA,0.45,0.304815832,0.245276672,6.42,4.05,0.76,2.76,1.01,0.5796,3.5,27.46,11.35,8.11,6.38,1.62,88.5,32.06521739
ESP-01,Esperanza,ESP-01,-13.1751,-71.5948,2868,27.3,302,NA,13.1,1560,24.3,16.9,NA,Umbrisol,980.8,1.48,28.59,ESP-01,ESP,ESP-01,2.151566265,0.255015657,0.007937993,7.77E-06,NA,7.77E-06,0.008273385,PAN-03,0.10348574,0.001787819,6.093860813,17.80134394,15.35896614,0.06015851,21.76,21.76,2.57,7.73,0.42,ESP-01,Esperanza,ESP-01,NA,0.38,0.436944225,0.182507734,2.94,1.96,0.25,2.17,0.75,0.4557,1.41,14.7,6.1,4.87,2.71,1.02,65.03,29.96774194
PAN-02,Allpahuayo A,PAN-02,-12.6495,-71.2626,595,11.5,138,NA,23,2366,NA,24.4,NA,Plintico,NA,NA,NA,PAN-02,NA,PAN-02,2.626384365,0.367896362,0.009836746,1.04E-05,NA,1.04E-05,0.010724047,SPD-01,0.088409816,0.001080576,8.237000534,47.89970267,27.98872373,0.021422177,NA,2.9939,NA,9.1,NA,PAN-02,Allpahuayo A,PAN-02,NA,0.53,0.276923077,0.197802198,4.78,3.53,NA,2.52,2.52,NA,1.8,NA,NA,7.35,NA,NA,NA,NA
PAN-03,Allpahuayo C,PAN-03,-12.6383,-71.2744,859,13.7,160.5,NA,21.9,2835,NA,18.7,NA,Alisol,NA,NA,NA,PAN-03,NA,PAN-03,2.271428571,0.365980952,0.021927233,0.000341588,NA,0.000341588,0.026056055,SPD-02,0.081046688,0.002476184,5.472873274,22.18292651,25.22711411,0.03170232,NA,2.449405,NA,7.445,NA,PAN-03,Allpahuayo C,PAN-03,NA,0.53,0.293485561,0.173270651,3.97,3.04,NA,2.185,2.19,NA,1.29,NA,NA,7.16,NA,NA,NA,NA
SPD-01,San Pedro 1500 m,SPD-01,-13.0475,-71.5423,1713,30.5,117,4.36,17.4,5302,37.6,14,NA,Cambisol,1071.1,1.2,22.7,SPD-01,SP1500-02,SPD-01,2.216535433,0.293256612,0.007697036,8.15E-06,NA,8.15E-06,0.012323711,TAM-05,0.113034142,0.001907082,7.752107436,23.86269747,20.79085856,1.407986784,38.57,38.57,4.13,12.08,0.49,SPD-01,San Pedro 1500 m,SPD-01,NA,0.5,0.35567654,0.152340043,3.94,2.63,0.42,2.04,0.38,0.4284,1.22,24.4,6.55,9.7,6.11,2.04,144.37,70.76960784
SPD-02,San Pedro 1750 m,SPD-02,-13.0491,-71.5365,1494,27.1,125,4.08,18.8,5302,37.3,22.8,NA,Cambisol,1630.7,0.9,13.6,SPD-02,SP1750-1,SPD-02,2.72635514,0.253817214,0.009571016,1.68E-05,NA,1.68E-05,0.010329022,TAM-06,0.159793333,0.003112107,7.298613047,31.29092365,20.7722243,0.144177488,32.33,32.33,4.03,8.01,0.4,SPD-02,San Pedro 1750 m,SPD-02,NA,0.49,0.347595708,0.156477679,5.99,4.12,0.66,3.04,0.52,0.6384,1.89,26.63,7.06,8.91,8.79,1.87,106.67,35.08881579
TAM-05,Tambopata VI,TAM-06,-12.8385,-69.2705,223,4.5,186,4.8,24.4,1900,21.8,27.5,NA,Cambisol,256.3,0.16,1.51,TAM-05,TAM06,TAM-05,2.33236246,0.349663557,0.010182608,1.07E-05,NA,1.07E-05,0.010720472,TRU-04,0.065573604,0.000756257,4.939994909,22.02187067,26.39893861,2.782884032,34.47,34.47,3.53,11.6,0.59,TAM-05,Tambopata VI,TAM-06,NA,0.49,0.331994449,0.181869898,6.15,4.03,0.76,2.18,0.95,0.4578,4.54,20.5,8.86,5.43,5.07,1.14,142.2,65.2293578
TAM-06,Tambopata V,TAM-05,-12.8309,-69.296,215,2.2,169,4.8,24.4,1900,35.5,28.2,NA,Alisol,528.8,0.17,1.2,TAM-06,TAM05,TAM-06,NA,NA,0.010005585,8.31E-06,NA,8.31E-06,0.010302979,WAY-01,0.37799,0.00522612,5.861368539,22.99898417,27.24941956,1.950855064,35.47,35.47,3.55,14.28,0.83,TAM-06,Tambopata V,TAM-05,NA,0.43,0.251285212,0.317976159,5.64,3.71,0.7,2.77,0.5,0.5817,2.11,20.27,6.43,7.62,4.62,1.6,112.1,40.46931408
