plot_code,Plot_Name,RAINFOR_site_code,Latitude,Longitude,Elevation (m),Slope (deg),Aspect (deg),Solar radiation (GJ m-2 yr-1),Mean annual air temperature (degC),Precipitation (mm yr-1),Soil moisture (%) ,Vegetation height (m),AG vegetation biomass,Soil type,Ptotal (mg kg-1),Soil total N (%),Soil total C (%),plot_code,match,plot_code,NMeanLower,NMeanMean,NMeanUpper,mean_n_percent,NVarianceLower,NVarianceMean,NVarianceUpper,NSkewnessLower,NSkewnessMean,NSkewnessUpper,NKurtosisLower,NKurtosisMean,NKurtosisUpper,var_n_percent,SLAMeanLower,SLAMeanMean,SLAMeanUpper,SLAVarianceLower,SLAVarianceMean,SLAVarianceUpper,SLASkewnessLower,SLASkewnessMean,SLASkewnessUpper,SLAKurtosisLower,SLAKurtosisMean,SLAKurtosisUpper,mean_sla_lamina_petiole,var_sla_lamina_petiole,,var_sla_lamina_petiole,mean_sla_lamina,mean_p_percent,PMeanLower,PMeanMean,PMeanUpper,var_p_percent,PVarianceLower,PVarianceMean,PVarianceUpper,PSkewnessLower,PSkewnessMean,PSkewnessUpper,PKurtosisLower,PKurtosisMean,PKurtosisUpper,Plot,PhotoMeanLower,PhotoMeanMean,PhotoMeanUpper,PhotoVarianceLower,PhotoVarianceMean,PhotoVarianceUpper,PhotoSkewnessLower,PhotoSkewnessMean,PhotoSkewnessUpper,PhotoKurtosisLower,PhotoKurtosisMean,PhotoKurtosisUpper,mean_photosynthesis,var_photosynthesis,mean_c_percent,CMeanLower,CMeanMean,CMeanUpper,CVarianceLower,CVarianceMean,CVarianceUpper,CSkewnessLower,CSkewnessMean,CSkewnessUpper,CKurtosisLower,CKurtosisMean,CKurtosisUpper,mean_air_temp,var_air_temp,AGB^0.6,GPPxAGB^-0.6,NPPxAGB^-0.6,Aboveground_biomass2,elevation_m,GPP,GPP_estimated,GPP_Error,NPP,NPP_error,plot_code,Plot_Name,RAINFOR_site_code,CUE,NPPCanopyAllocation,NPPWoodAllocation,NPPRoot Allocation,NPPCanopy,NPPLeaf,NPPHerbivory,NPPACW,NPPBranchTurnover,NPPCoarseroot,NPPFineroot,Ra,RLeaf,RStem,Rrhizosphere,Rcoarseroot,Aboveground_biomass,Residence_time
ACJ-01,Acjanaco I,ACJ-01,-13.14689,-71.6323,3537,36.3,104,NA,9,1980,NA,12.5,NA,Cambisol,NA,NA,NA,ACJ-01,ACJ-01,ACJ-01,0.021596266,0.021845035,0.022093441,2.336923077,3.07E-05,3.59E-05,4.25E-05,0.908451916,1.548955691,2.539451701,4.244126535,9.216403723,19.5109068,0.235124504,7.658407363,7.843424833,8.032023624,15.94783275,22.15352936,29.68141389,2.94900321,4.435629918,6.300920709,18.86199966,36.09147138,71.25575271,0.00685648,8.77E-06,NA,8.77E-06,0.007060886,0.11308127,0.001182017,0.001212459,0.001244049,0.001337251,2.53E-07,3.13E-07,3.93E-07,1.33E+00,2.07E+00,3.51E+00,6.09E+00,1.24E+01,3.20E+01,ACJ-01,7.657823881,7.846074922,8.047610391,16.31324781,22.2300064,30.24903577,3.153449887,4.443546321,6.219752271,19.46209144,36.04452564,66.61935574,11.0750389,22.52813419,47.58666667,0.483177959,0.484584815,0.485878887,0.000783161,0.000849118,0.000917903,-0.378936618,-0.221560377,-0.071768378,2.270525933,2.587570629,3.084803445,15.10454715,0.066323723,NA,NA,NA,NA,3537,NA,1.72725,NA,5.25,NA,ACJ-01,Acjanaco I,ACJ-01,NA,0.42,0.365714286,0.215238095,2.91,2.2,NA,1.92,1.92,NA,1.13,NA,NA,4.7,NA,NA,NA,NA
AlpA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AlpA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001076652,0.001100331,0.001122398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.58517072,2.101137546,0.656975402,130.4,NA,39.05,39.05,4.59,12.21,0.96,AlpA,AlpA,NA,NA,0.38,0.36790738,0.247269393,4.7,2.68,0.5,2.54,1.42,0.5334,3.02,24.92,8.92,9.63,4.44,1.93,130.4,51.33858268
AlpC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AlpC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001027723,0.001061185,0.001094352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.72875243,2.843418015,0.968853273,88.5,NA,41.88,41.88,4.6,14.27,0.95,AlpC,AlpC,NA,NA,0.45,0.304815832,0.245276672,6.42,4.05,0.76,2.76,1.01,0.5796,3.5,27.46,11.35,8.11,6.38,1.62,88.5,32.06521739
ESP-01,Esperanza,ESP-01,-13.1751,-71.5948,2868,27.3,302,NA,13.1,1560,24.3,16.9,NA,Umbrisol,980.8,1.48,28.59,ESP-01,ESP,ESP-01,0.021827546,0.022012753,0.02219815,2.151566265,2.28E-05,2.48E-05,2.72E-05,0.581543585,0.760412639,0.949067408,3.520968247,4.033892636,4.790572803,0.255015657,8.506571802,8.662525897,8.828596107,13.43264655,15.4588541,19.48598836,1.386398224,1.906136256,4.338408967,5.500421945,10.96106917,51.20023393,0.007937993,7.77E-06,NA,7.77E-06,0.008273385,0.10348574,0.001076652,0.001100331,0.001122398,0.001787819,2.18E-07,2.54E-07,2.98E-07,1.173051017,1.622005405,2.320381102,4.915190862,8.035737326,14.84717362,ESP-01,8.512696353,8.658045748,8.811812575,13.35203468,15.43473822,18.7477041,1.388477762,1.900408476,3.955197353,5.596368371,10.57075507,40.18916036,6.093860813,17.80134394,48.9539759,0.492893133,0.493783675,0.494609138,0.000553098,0.000604513,0.000660656,-0.853822683,-0.625858728,-0.399420769,3.794689749,4.307387478,5.139598496,15.35896614,0.06015851,12.24244756,1.777422357,0.631409688,65.03,2868,21.76,21.76,2.57,7.73,0.42,ESP-01,Esperanza,ESP-01,NA,0.38,0.436944225,0.182507734,2.94,1.96,0.25,2.17,0.75,0.4557,1.41,14.7,6.1,4.87,2.71,1.02,65.03,29.96774194
PAN-02,Allpahuayo A,PAN-02,-12.6495,-71.2626,595,11.5,138,NA,23,2366,NA,24.4,NA,Plintico,NA,NA,NA,PAN-02,NA,PAN-02,0.025488935,0.025773197,0.026073091,2.626384365,4.60E-05,5.03E-05,5.51E-05,0.448533335,0.631710877,0.962213801,3.056177695,3.683220888,5.674079049,0.367896362,11.37652092,11.74584279,12.19568213,40.3985644,56.13971397,79.52179925,2.363147125,3.6159059,6.333204937,10.44346114,25.20807197,70.02967766,0.009836746,1.04E-05,NA,1.04E-05,0.010724047,0.088409816,0.001027723,0.001061185,0.001094352,0.001080576,2.43E-07,3.11E-07,4.08E-07,1.238349106,2.167125363,4.047919073,5.32995994,13.38013865,36.16465392,PAN-02,11.34062329,11.72650628,12.1746799,39.76312586,55.4359651,81.12325698,2.344819143,3.563910092,5.796167397,10.24231468,24.47606991,61.08880988,8.237000534,47.89970267,50.90423453,0.492034149,0.4935599,0.494997704,0.000901902,0.001006877,0.001135412,-0.517102895,-0.163032116,0.43049012,3.222991939,4.413010247,7.933661604,27.98872373,0.021422177,NA,NA,NA,NA,595,NA,2.9939,NA,9.1,NA,PAN-02,Allpahuayo A,PAN-02,NA,0.53,0.276923077,0.197802198,4.78,3.53,NA,2.52,2.52,NA,1.8,NA,NA,7.35,NA,NA,NA,NA
PAN-03,Allpahuayo C,PAN-03,-12.6383,-71.2744,859,13.7,160.5,NA,21.9,2835,NA,18.7,NA,Alisol,NA,NA,NA,PAN-03,NA,PAN-03,0.023998069,0.024297547,0.024590534,2.271428571,4.89E-05,5.75E-05,6.68E-05,0.803368771,1.328974569,2.002833972,4.124054531,7.191163985,12.58425852,0.365980952,17.56050238,18.52949036,19.5362449,212.832396,269.0920301,341.4646542,1.848115992,2.407364167,3.242793044,6.552068472,11.26985534,21.34277864,0.021927233,0.000341588,NA,0.000341588,0.026056055,0.081046688,0.001015125,0.001050076,0.001085424,0.002476184,3.20E-07,4.03E-07,5.16E-07,1.28E+00,1.97E+00,3.53E+00,5.01E+00,1.06E+01,2.99E+01,PAN-03,17.58854399,18.53725874,19.58133731,213.4907469,270.5538522,340.0269827,1.874359463,2.412571184,3.356658418,6.625918074,11.32831888,22.31074886,5.472873274,22.18292651,50.02923588,0.485756959,0.487435487,0.489064933,0.001051097,0.00118745,0.001348173,-0.286265886,0.159081604,0.806601555,3.249413375,5.022909084,8.74670932,25.22711411,0.03170232,NA,NA,NA,NA,859,NA,2.449405,NA,7.445,NA,PAN-03,Allpahuayo C,PAN-03,NA,0.53,0.293485561,0.173270651,3.97,3.04,NA,2.185,2.19,NA,1.29,NA,NA,7.16,NA,NA,NA,NA
SPD-01,San Pedro 1500 m,SPD-01,-13.0475,-71.5423,1713,30.5,117,4.36,17.4,5302,37.6,14,NA,Cambisol,1071.1,1.2,22.7,SPD-01,SP1500-02,SPD-01,0.024653585,0.024824429,0.024976664,2.216535433,4.19E-05,4.46E-05,4.84E-05,0.184809887,0.381994539,0.960317932,2.379140541,3.631338011,9.400316694,0.293256612,11.00969095,11.17663092,11.34960153,44.83208863,49.80833393,57.3404392,3.113283066,3.417453991,4.225838392,23.39436144,27.16930845,38.14741457,0.007697036,8.15E-06,NA,8.15E-06,0.012323711,0.113034142,0.001381035,0.00139909,0.001416374,0.001907082,3.64E-07,4.03E-07,4.49E-07,9.97E-01,1.67E+00,2.63E+00,6.38E+00,1.36E+01,2.59E+01,SPD-01,11.0339345,11.1881016,11.3697676,45.07919181,49.80867755,56.56180014,3.103646505,3.42023551,4.218883635,23.21498226,27.22009234,39.30123615,7.752107436,23.86269747,48.77699605,0.481527235,0.482593505,0.48373229,0.00098913,0.001068137,0.001155778,-0.810416906,-0.504075054,-0.118712677,6.218940197,7.135661029,8.839973541,20.79085856,1.407986784,19.75541575,1.952376021,0.611477893,144.37,1713,38.57,38.57,4.13,12.08,0.49,SPD-01,San Pedro 1500 m,SPD-01,NA,0.5,0.35567654,0.152340043,3.94,2.63,0.42,2.04,0.38,0.4284,1.22,24.4,6.55,9.7,6.11,2.04,144.37,70.76960784
SPD-02,San Pedro 1750 m,SPD-02,-13.0491,-71.5365,1494,27.1,125,4.08,18.8,5302,37.3,22.8,NA,Cambisol,1630.7,0.9,13.6,SPD-02,SP1750-1,SPD-02,0.02663598,0.026886857,0.027131783,2.72635514,3.83E-05,4.27E-05,4.79E-05,0.000856811,0.383892599,1.029685394,2.925118799,4.842541328,9.931291,0.253817214,10.41909428,10.62071036,10.84537983,27.03442126,32.57689865,42.07935617,1.309633951,2.098251856,4.245597318,4.445792328,12.84286943,44.90098416,0.009571016,1.68E-05,NA,1.68E-05,0.010329022,0.159793333,0.001467136,0.00148853,0.001511446,0.003112107,3.00E-07,3.33E-07,3.74E-07,5.92E-01,8.76E-01,1.46E+00,3.68E+00,5.16E+00,1.01E+01,SPD-02,10.42334922,10.63108625,10.86425187,27.218448,32.8622204,44.53730158,1.321822854,2.14864663,4.641810946,4.561429234,13.6076698,53.18224315,7.298613047,31.29092365,48.58865421,0.484561089,0.486154032,0.487690982,0.000965398,0.001102272,0.001258393,-0.357812475,0.243458043,0.959311258,4.753671612,7.251824717,11.80750446,20.7722243,0.144177488,16.47499825,1.962367432,0.486191251,106.67,1494,32.33,32.33,4.03,8.01,0.4,SPD-02,San Pedro 1750 m,SPD-02,NA,0.49,0.347595708,0.156477679,5.99,4.12,0.66,3.04,0.52,0.6384,1.89,26.63,7.06,8.91,8.79,1.87,106.67,35.08881579
TAM-05,Tambopata VI,TAM-06,-12.8385,-69.2705,223,4.5,186,4.8,24.4,1900,21.8,27.5,NA,Cambisol,256.3,0.16,1.51,TAM-05,TAM06,TAM-05,0.024202621,0.024462313,0.024717625,2.33236246,3.52E-05,3.93E-05,4.47E-05,0.466628286,0.876453342,1.569544388,3.587982454,5.936244664,12.45836885,0.349663557,10.62997207,10.87026217,11.12940323,26.6006225,34.07062546,45.12950203,2.021678974,3.024625654,5.329162626,9.607337334,21.24887455,60.62630844,0.010182608,1.07E-05,NA,1.07E-05,0.010720472,0.065573604,0.000932766,0.000952393,0.000973995,0.000756257,2.32E-07,2.70E-07,3.16E-07,1.21E+00,1.64E+00,2.26E+00,5.12E+00,7.98E+00,1.45E+01,TAM-05,10.61618892,10.86031425,11.12553176,26.46345962,33.71237131,44.64522838,1.976124133,2.95572765,4.690460437,9.399686688,20.04189892,48.02613247,4.939994909,22.02187067,47.6776699,0.481038066,0.483238125,0.485442426,0.00227004,0.002587967,0.002920996,0.545152674,0.882924601,1.192745304,5.075382967,6.255475111,7.694712224,26.39893861,2.782884032,19.57671227,1.760765522,0.592540762,142.2,223,34.47,34.47,3.53,11.6,0.59,TAM-05,Tambopata VI,TAM-06,NA,0.49,0.331994449,0.181869898,6.15,4.03,0.76,2.18,0.95,0.4578,4.54,20.5,8.86,5.43,5.07,1.14,142.2,65.2293578
TAM-06,Tambopata V,TAM-05,-12.8309,-69.296,215,2.2,169,4.8,24.4,1900,35.5,28.2,NA,Alisol,528.8,0.17,1.2,TAM-06,TAM05,TAM-06,0.023863399,0.024142591,0.024449419,NA,4.72E-05,5.36E-05,6.12E-05,0.287052979,0.771877564,1.482368993,4.591732715,7.028093271,12.38814285,NA,12.05790481,12.31235839,12.59041112,29.16573101,35.17710262,45.18420715,1.143288927,1.986938736,3.868150852,5.002914557,13.4428501,39.97017207,0.010005585,8.31E-06,NA,8.31E-06,0.010302979,NA,0.001307347,0.001335448,0.001364162,0.00522612,6.97E-07,7.69E-07,8.49E-07,1.87E+00,2.05E+00,2.30E+00,6.65E+00,7.77E+00,9.77E+00,TAM-06,12.04981318,12.30334282,12.56809619,28.9267692,35.10879332,43.97227027,1.110382492,1.971481246,3.931921628,4.870321226,12.92777383,40.42203903,5.861368539,22.99898417,NA,0.46954773,0.471434231,0.473437688,0.001660527,0.001874926,0.002105587,0.073112633,0.485519685,0.964376248,3.791121315,5.431499022,8.003648201,27.24941956,1.950855064,16.97318589,2.089766779,0.841327026,112.1,215,35.47,35.47,3.55,14.28,0.83,TAM-06,Tambopata V,TAM-05,NA,0.43,0.251285212,0.317976159,5.64,3.71,0.7,2.77,0.5,0.5817,2.11,20.27,6.43,7.62,4.62,1.6,112.1,40.46931408
