plot_code,Plot_Name,RAINFOR_site_code,Latitude,Longitude,Elevation(m),c_percent.sun.mu.abundance,c_percent.sun.se.abundance,n_percent.sun.mu.abundance,n_percent.sun.se.abundance,p_corrected_percent.sun.mu.unweighted,p_corrected_percent.sun.mu.abundance,p_corrected_percent.sun.se.abundance,amax.sun.mu.abundance,amax.sun.se.abundance,lma.sun.mu.abundance,lma.sun.se.abundance,SolarRadiation(GJ m-2 yr-1),MeanAnnualAirTemperature(degC),Precipitation(mm yr-1),Soil moisture (%) ,Aboveground_biomass2,AboveGroundBiomass_Malhi_2017,NPP_old,NPP_new,NPP_Malhi_2017,NPP_Malhi_2017_UpperRange,NPP_Malhi_2017_LowerRange,GPP_new,GPP_new_estimate,GPP_Malhi_2017,GPP_Malhi_2017_UpperRange,GPP_Malhi_2017_LowerRange,Slope (deg),Aspect (deg),Vegetation height (m),Soil type,Malhi_2017SoilCstock(MgCha 1 from0to30cm) ,PCA1ScoresPlotTraits_a,PCA2ScoresPlotTraits_a,PCA1ScoresTraitSample,PCA2ScoresTraitSample,NMeanLower,NMeanMean,NMeanUpper,NVarianceLower,NVarianceMean,NVarianceUpper,NSkewnessLower,NSkewnessMean,NSkewnessUpper,NKurtosisLower,NKurtosisMean,NKurtosisUpper,SLAMeanLower,SLAMeanMean,SLAMeanUpper,SLAVarianceLower,SLAVarianceMean,SLAVarianceUpper,SLASkewnessLower,SLASkewnessMean,SLASkewnessUpper,SLAKurtosisLower,SLAKurtosisMean,SLAKurtosisUpper,mean_p_percent,var_p_percent,PMeanLower,PMeanMean,PMeanUpper,PVarianceLower,PVarianceMean,PVarianceUpper,PSkewnessLower,PSkewnessMean,PSkewnessUpper,PKurtosisLower,PKurtosisMean,PKurtosisUpper,PhotoMeanLower,PhotoMeanMean,PhotoMeanUpper,PhotoVarianceLower,PhotoVarianceMean,PhotoVarianceUpper,PhotoSkewnessLower,PhotoSkewnessMean,PhotoSkewnessUpper,PhotoKurtosisLower,PhotoKurtosisMean,PhotoKurtosisUpper,CMeanLower,CMeanMean,CMeanUpper,CVarianceLower,CVarianceMean,CVarianceUpper,CSkewnessLower,CSkewnessMean,CSkewnessUpper,CKurtosisLower,CKurtosisMean,CKurtosisUpper,mean_air_temp,var_air_temp,mean_c_percent,var_c_percent,mean_n_percent,var_n_percent,mean_p_percent,var_p_percent,mean_c13_delta,var_c13_percent,mean_lma_lamina_petiole,var_lma_lamina_petiole,min_lma_lamina_petiole,max_lma_lamina_petiole,mean_sla_lamina_petiole,var_sla_lamina_petiole,min_sla_lamina_petiole,max_sla_lamina_petiole,mean_photosynthesis,var_photosynthesis
ACJ-01,Acjanaco I,ACJ-01,-13.14689,-71.6323,3537,47.71650611,0.672765946,2.034785892,0.14451183,0.126640889,0.118476682,0.010463119,15.41724571,0.832993441,187.586897,18.30531973,4.6,9.0,1980,NA,81.9,81.9,5.25,7.891674678,7.89,8.34,7.44,NA,23.67526079,26.31,30.95,21.67,36.3,104,12.5,Cambisol,NA,3.076204695,2.327395267,3.680790132,1.879992759,0.02156269,0.021791722,0.022023093,2.96E-05,3.24E-05,3.55E-05,0.767880198,0.946299776,1.119293737,3.481746274,4.234064517,4.900832869,7.661999284,7.845547208,8.039964708,16.38342895,22.20751544,30.13472612,3.111292209,4.441754557,6.342504401,19.3748275,36.0294513,67.54083583,0.11308127,0.001337251,0.001182009,0.001211103,0.001243545,2.53E-07,3.02E-07,3.61E-07,1.334842751,1.819405137,2.271355958,6.15868414,9.350444409,12.54902096,12.23846611,12.47054982,12.71693634,28.61442079,30.58746695,32.68048204,-0.394367713,-0.277688178,-0.162595111,2.32600011,2.527614763,2.775731965,0.481434003,0.482646415,0.48379721,0.000995125,0.001068522,0.001152986,-0.778874945,-0.493349874,-0.133419901,6.231581062,7.128949877,8.891798606,15.10454715,0.066323723,47.58666667,9.109099656,2.336923077,0.235124504,0.11308127,0.001337251,-28.67038328,3.080623279,175.4709915,6343.581431,57.04518617,441.8416103,0.00685648,8.77E-06,0.002263255,0.017529963,11.0750389,22.52813419
AlpA,Allpahuayo A,NA,-3.95,-73.4333,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,2689,26.8,130.4,130,12.21,12.71,12.21,13.17,11.25,39.05,39.05,39.05,43.64,34.46,1.4,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlpC,Allpahuayo C,NA,-3.9543,-73.4267,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,25.2,2689,10.8,88.5,89,14.27,15.0296,14.27,15.23,13.31,41.88,41.88,41.88,46.48,37.28,1.5,196,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP-01,Esperanza,ESP-01,-13.1751,-71.5948,2868,49.16700854,0.655646027,2.073641618,0.094566993,0.109534731,0.099847142,0.007466222,8.084025332,0.794114904,146.2357986,12.24536853,NA,13.1,1560,24.3,65.03,65.03,7.73,7.9757,7.73,8.15,7.31,21.76,21.76,21.76,24.33,19.19,27.3,302,16.9,Umbrisol,133.9,-0.335538891,-0.095110605,-0.141517107,0.408295058,0.021829519,0.022008916,0.022195059,2.29E-05,2.48E-05,2.70E-05,0.604240186,0.762491255,0.926477237,3.531319792,3.988108432,4.602375507,8.512295657,8.663554391,8.825691648,13.43732074,15.45261425,19.24549884,1.400018425,1.90694106,4.045696175,5.621440063,10.98245657,44.25428134,0.10348574,0.001787819,0.001078701,0.001099976,0.001121425,2.18E-07,2.52E-07,2.92E-07,1.169167616,1.579395061,2.074730005,4.927894696,7.544389264,11.38831356,7.450919447,7.708461797,7.983193028,21.93004762,24.40710983,26.98668032,0.657222339,0.836263068,1.014236376,2.997069602,3.652404662,4.406657735,0.469577877,0.471525631,0.473418893,0.001662019,0.001874245,0.002097263,0.110483628,0.499630632,0.909906009,3.779684204,5.420349984,7.583208037,15.35896614,0.06015851,48.9539759,9.935292125,2.151566265,0.255015657,0.10348574,0.001787819,-29.22068311,3.962936415,139.2062207,1758.566436,38.62514181,254.1716524,0.007937993,7.77E-06,0.003934349,0.025889873,6.093860813,17.80134394
PAN-02,Pantiacolla II,PAN-02,-12.6495,-71.2626,595,49.92358993,0.800648213,2.52770428,0.142848889,0.086884103,0.089578807,0.007416022,12.02729503,1.52653307,112.0240959,7.056047045,3.82,23.5,2366,NA,97.425,97,9.1,11.34324649,11.34,12,10.68,NA,34.03007976,32.41,36.57,28.25,11.5,138,24.4,Plintico,NA,-1.395318851,2.08748522,-1.331924554,1.446523893,0.025499356,0.025762996,0.02604938,4.49E-05,4.86E-05,5.21E-05,0.444660845,0.561106797,0.668833322,2.88341442,3.084916802,3.329127092,11.36442983,11.75432161,12.19308963,40.48888507,56.04628466,82.79220387,2.390225221,3.607468338,6.28085599,10.78780747,25.11850748,72.18729983,0.088409816,0.001080576,0.001026955,0.001058784,0.001092084,2.38E-07,2.97E-07,3.63E-07,1.209914445,1.895397962,2.55441602,5.191126629,9.878861764,14.48215155,8.641462665,9.044963267,9.404691475,41.83394087,46.78563477,51.72288882,0.798702402,0.924422475,1.046427513,2.935278501,3.295173359,3.664263676,0.483189587,0.484643763,0.485984058,0.000785833,0.000847057,0.000910988,-0.37983481,-0.22193141,-0.090473931,2.281651984,2.586388377,3.028235033,27.98872373,0.021422177,50.90423453,8.713217304,2.626384365,0.367896362,0.088409816,0.001080576,-31.30692042,2.357521386,110.9060507,905.9720848,45.95351051,178.237095,0.009836746,1.04E-05,0.005610504,0.021761123,8.237000534,47.89970267
PAN-03,Pantiacolla III,PAN-03,-12.6383,-71.2744,859,49.23109106,0.557294249,2.249791145,0.180146548,0.075946154,0.07512264,0.007146729,8.349928468,1.23744945,80.24802297,7.777368417,NA,21.9,2835,NA,66.605,67,7.445,9.415150665,9.42,10.06,8.78,NA,28.24573445,26.9,30.47,23.33,13.7,160.5,18.7,Alisol,NA,-2.971003078,0.454116515,-2.436345699,0.89738844,0.023904204,0.024164378,0.024446723,4.52E-05,4.91E-05,5.33E-05,0.56888465,0.698660402,0.811680564,3.035931135,3.31895199,3.601963287,17.6328208,18.54317909,19.53400201,214.3570632,270.4343779,342.7137528,1.886778134,2.423738255,3.43139386,6.702922222,11.4910966,23.65909573,0.081046688,0.002476184,0.001016532,0.001049593,0.0010809,3.23E-07,3.92E-07,4.67E-07,1.290101354,1.759192907,2.201004643,5.10752857,8.037471942,11.02652631,7.628358277,7.940180258,8.238181583,22.29723573,26.18137866,30.02345905,0.995215894,1.257633482,1.499327891,4.414690742,5.438216582,6.42630533,0.492941621,0.493778532,0.494617457,0.000550421,0.000603484,0.00065567,-0.851384437,-0.628467457,-0.412184629,3.798255322,4.319807561,5.197840502,25.22711411,0.03170232,50.02923588,7.769342414,2.271428571,0.365980952,0.081046688,0.002476184,-30.66603774,3.33007321,80.36532592,2827.501319,6.938377105,232.1249856,0.021927233,0.000341588,0.004308024,0.144125922,5.472873274,22.18292651
SPD-01,San Pedro 1500 m,SPD-01,-13.0475,-71.5423,1713,48.06120817,0.489084315,2.215920864,0.111254306,0.116707105,0.131885095,0.01024237,11.22095929,0.628955349,135.6377054,6.816970231,4.36,17.4,5302,37.6,144.37,144.37,12.08,8.4284,8.01,8.41,7.61,32.33,32.33,32.33,36.36,28.3,30.5,117,14,Cambisol,75.6,1.074971858,0.1542347,-0.036624427,-1.156262801,0.024646449,0.024809956,0.024963614,4.14E-05,4.36E-05,4.56E-05,0.170030634,0.240542809,0.31509676,2.326458535,2.465561755,2.609430513,11.01315091,11.17734672,11.35241863,45.03693617,49.82638397,57.09190902,3.120650409,3.426248921,4.179173423,23.30090587,27.22984633,38.55006837,0.113034142,0.001907082,0.001379289,0.001395847,0.00141277,3.48E-07,3.73E-07,4.02E-07,0.801746876,0.977055632,1.167100405,5.133263856,6.021209532,6.976855888,8.313354492,8.506393775,8.70974688,28.17333661,30.39535435,32.81051976,0.706079506,0.843710235,0.983688447,3.2415672,3.715062536,4.219100313,0.492068072,0.493603062,0.495182883,0.000897354,0.001008736,0.0011303,-0.503955186,-0.148785806,0.473833957,3.217509191,4.37921023,8.308328268,20.79085856,1.407986784,48.77699605,10.71174145,2.216535433,0.293256612,0.113034142,0.001907082,-30.09029982,3.38285627,143.3685954,1835.772296,26.89983044,258.0192412,0.007697036,8.15E-06,0.00387568,0.037174956,7.752107436,23.86269747
SPD-02,San Pedro 1750 m,SPD-02,-13.0491,-71.5365,1494,48.68821034,0.363610705,2.756946471,0.106124157,0.157512293,0.153042235,0.007730805,9.070192778,0.885321476,114.0290479,7.739932114,4.08,18.8,5302,37.3,106.67,106.67,8.01,12.7384,12.08,12.57,11.59,38.57,38.57,38.57,42.7,34.54,27.1,125,22.8,Cambisol,94,-0.722734021,-0.931305947,-0.539617443,-1.565009756,0.02660499,0.026844428,0.027078473,3.73E-05,3.99E-05,4.28E-05,-0.080179966,0.053465251,0.169178928,2.687659017,2.901044132,3.120461476,10.42302115,10.6323539,10.85047604,26.96395175,32.73059834,42.69108256,1.298863471,2.147057965,4.318652256,4.447485235,13.58933937,46.85646571,0.159793333,0.003112107,0.001466639,0.001488582,0.001512149,2.99E-07,3.32E-07,3.67E-07,0.592577319,0.84310478,1.146180822,3.695056663,4.753163146,6.349547746,8.110109448,8.40776897,8.707392701,31.05643094,34.99632866,39.21681571,0.930215575,1.115128882,1.270694754,3.769094866,4.366408816,4.951587984,0.485702656,0.487325257,0.488958292,0.001053112,0.001181424,0.001337297,-0.270814977,0.157011899,0.748101902,3.269166491,4.947203246,8.536249511,20.7722243,0.144177488,48.58865421,13.62586448,2.72635514,0.253817214,0.159793333,0.003112107,-30.28632327,3.208051048,122.1346811,2404.51746,38.34508933,472.1054554,0.009571016,1.68E-05,0.002118171,0.026078959,7.298613047,31.29092365
TAM-06,Tambopata VI,TAM-06,-12.8385,-69.2705,223,47.27431577,0.687714467,2.215539181,0.087329851,0.076216239,0.073107788,0.005418416,8.413609671,0.901959648,108.3306076,3.760906957,NA,24.4,1900,21.8,142.2,142,11.6,15.0378,14.28,15.11,13.45,35.47,35.47,35.47,40.07,31.92,4.5,186,27.5,Cambisol,44,-1.796022603,0.102785796,-1.227008967,1.605716897,0.024194277,0.024426371,0.024682318,3.40E-05,3.69E-05,3.98E-05,0.407740049,0.564392954,0.709101032,3.359469267,3.701477664,4.05748525,10.6097382,10.87289072,11.13811914,26.75557208,34.2792326,46.87329969,1.997092307,3.055606379,5.244856744,9.388691608,21.46819994,57.67431235,0.065573604,0.000756257,0.000931559,0.000953541,0.000976399,2.34E-07,2.71E-07,3.17E-07,1.222226476,1.61799847,2.061410967,5.119926389,7.635388249,11.08770425,8.371115311,8.622125868,8.893977648,30.70607278,33.51906988,36.86706626,0.754219357,0.890585024,1.026407264,3.120806575,3.569524247,4.026206063,0.484656861,0.486174891,0.487612658,0.000980065,0.001105281,0.001270753,-0.355407529,0.264907344,0.992973987,4.733091431,7.321128118,11.49541055,26.39893861,2.782884032,47.6776699,8.932194553,2.33236246,0.349663557,0.065573604,0.000756257,-31.80892308,2.164210256,106.4135578,788.1480531,33.17514124,184.9756099,0.010182608,1.07E-05,0.005406118,0.030143052,4.939994909,22.02187067
TAM-05,Tambopata V,TAM-05,-12.8309,-69.296,215,45.68250245,0.584428001,2.129298854,0.106227723,0.140816049,0.151239992,0.015576518,7.988980346,1.089955427,100.0003399,8.791478524,4.8,24.4,1900,35.5,112.1,112,14.28,12.3017,11.6,12.43,10.77,34.47,34.47,34.47,38,30.94,2.2,169,28.2,Alisol,38,0.526606842,-2.584807377,-0.149117931,-1.302403741,0.023887043,0.02414229,0.024393656,4.21E-05,4.53E-05,4.85E-05,0.410143494,0.533281764,0.653720631,3.343921266,3.608558785,3.870399329,12.04610615,12.31360795,12.56999053,29.22228916,35.14767487,45.22879054,1.1488412,2.008998417,4.239788309,4.936317184,13.52980629,49.93858328,NA,0.00522612,0.001306111,0.001332953,0.001361254,6.83E-07,7.49E-07,8.16E-07,1.813037109,1.953147572,2.07958078,6.363710296,7.011989377,7.645247735,7.805841126,8.150351672,8.476158121,23.69198059,27.52478805,31.55224638,0.960196014,1.242647187,1.468619986,4.252140962,5.323568955,6.258940219,0.489182214,0.490135009,0.491067371,0.000707614,0.000748968,0.000796909,-0.038371334,0.093472752,0.222410531,2.265371185,2.522626584,3.00760091,27.24941956,1.950855064,NA,NA,NA,NA,0.37799,0.00522612,NA,NA,106.2593106,537.1376355,60.15625611,146.3278845,0.010005585,8.31E-06,0.006833968,0.016623375,5.861368539,22.99898417
