"","tree_id","tree_code","fp_tree_id","fp_species_name","fp_species_id","fp_genus_name","fp_genus_id","fp_family_name","fp_family_apg_id","sub_plot_code","plot_code","csp_site","csp_tree_code","csp_species","csp_family","csp_full_name","csp_taxon_info","dbh_latest","census_date_latest"
"1",8211,"DUP125.2A",637639,"Miconia indet",644409,"Miconia",16100,"Melastomataceae",414,"4","SPD-01",NA,NA,NA,NA,NA,NA,123,"2011.808"
"2",11544,"DUP312.2",1074531,"Socratea exorrhiza",560280,"Socratea",2744,"Arecaceae",413,"14","TAM-06",NA,NA,NA,NA,NA,NA,119,"2014.671"
"3",11941,"DUP585",56721,"Neea divaricata",427145,"Neea",17020,"Nyctaginaceae",358,"24","TAM-06",NA,NA,NA,NA,NA,NA,152,"2011.6725"
"33",1,"T1",1105383,"Symplocos quitensis",580089,"Symplocos",26001,"Symplocaceae",124,"1","ACJ-01",NA,NA,NA,NA,NA,NA,130,"2014.2"
"34",860,"T1",634271,"Clusia trochiformis",124742,"Clusia",8717,"Clusiaceae",350,"1","ESP-01","ESP-01","T1","sp. 28086(CSP)","Clusiaceae","Clusia sp. 28086(CSP)",NA,353,"2011.915"
"35",3742,"T1",1106827,"Marila laxiflora",393907,"Marila",8755,"Calophyllaceae",513,"22","PAN-02","PAN-02","T1","majuscula","Vochysiaceae","Vochysia majuscula","Pilg.",840,"2013.241"
"36",6571,"T1",1107599,"Aspidosperma indet",630143,"Aspidosperma",1834,"Apocynaceae",420,"1","PAN-03",NA,NA,NA,NA,NA,NA,171,"2014.219"
"37",7254,"T1",636683,"Alzatea verticillata",23472,"Alzatea",638,"Alzateaceae",5,"1.r","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"38",9408,"T1",1062372,"Staphylea occidentalis",570495,"Staphylea",25811,"Staphyleaceae",451,"1","SPD-02","SPD-02","T1","occidentalis","Staphyleaceae","Turpinia occidentalis","(Sw.) G. Don",247,"2009.033"
"39",11161,"T1",56076,"Swartzia arborescens",578804,"Swartzia",12720,"Fabaceae",423,"1","TAM-06",NA,NA,NA,NA,NA,NA,467,"2011.6725"
"40",12108,"T1",635192,"Persea indet",642953,"Persea",14644,"Lauraceae",374,"1","TRU-04",NA,NA,NA,NA,NA,NA,184,"2011.575"
"41",13167,"T1",632985,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"1","WAY-01",NA,NA,NA,NA,NA,NA,101,"2011.896"
"42",10,"T10",1105392,"Symplocos quitensis",580089,"Symplocos",26001,"Symplocaceae",124,"1","ACJ-01",NA,NA,NA,NA,NA,NA,174,"2014.2"
"43",869,"T10",634280,"Brunellia inermis",78587,"Brunellia",7331,"Brunelliaceae",21,"1","ESP-01",NA,NA,NA,NA,NA,NA,107,"2011.915"
"44",3755,"T10",1106840,"Senefeldera inclinata",552637,"Senefeldera",10888,"Euphorbiaceae",415,"22","PAN-02",NA,NA,NA,NA,NA,NA,194,"2013.241"
"45",6580,"T10",1107608,"Faramea torquata",236449,"Faramea",23508,"Rubiaceae",455,"1","PAN-03","PAN-03","T10","torquata","Rubiaceae","Faramea torquata","Mull. Arg.",185,"2014.219"
"46",7263,"T10",636692,"Tapirira indet",629358,"Tapirira",1049,"Anacardiaceae",390,"1","SPD-01",NA,NA,NA,NA,NA,NA,303,"2011.808"
"47",9417,"T10",1062381,"Alsophila erinacea",22279,"Alsophila",21867,"Cyatheaceae",470,"1","SPD-02",NA,NA,NA,NA,NA,NA,123,"2009.033"
"48",10282,"T10",55276,"Xylopia indet",629561,"Xylopia",1252,"Annonaceae",407,"1","TAM-05",NA,NA,NA,NA,NA,NA,0,"2000.5615"
"49",11162,"T10",56088,"Rinorea viridifolia",524671,"Rinorea",26681,"Violaceae",341,"1","TAM-06",NA,NA,NA,NA,NA,NA,125,"2011.6725"
"50",12117,"T10",635201,"Meliosma indet",652693,"Meliosma",24384,"Sabiaceae",450,"1","TRU-04",NA,NA,NA,NA,NA,NA,136,"2011.575"
"51",13176,"T10",632994,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"1","WAY-01",NA,NA,NA,NA,NA,NA,158,"2011.896"
"52",100,"T100",1105482,"Miconia alpina",410450,"Miconia",16100,"Melastomataceae",414,"3","ACJ-01",NA,NA,NA,NA,NA,NA,142,"2014.2"
"53",959,"T100",634370,"Cyathea indet",650340,"Cyathea",22031,"Cyatheaceae",470,"5","ESP-01",NA,NA,NA,NA,NA,NA,146,"2011.915"
"54",6670,"T100",1107698,"Alchornea triplinervia",18235,"Alchornea",10383,"Euphorbiaceae",415,"4","PAN-03",NA,NA,NA,NA,NA,NA,113,"2014.219"
"55",7353,"T100",636782,"Alchornea latifolia",18200,"Alchornea",10383,"Euphorbiaceae",415,"4","SPD-01",NA,NA,NA,NA,NA,NA,200,"2011.808"
"56",9506,"T100",1062470,"Tapirira obtusa",583563,"Tapirira",1049,"Anacardiaceae",390,"4","SPD-02",NA,NA,NA,NA,NA,NA,263,"2009.033"
"57",10693,"T100",55367,"Calophyllum brasiliense",89689,"Calophyllum",8706,"Clusiaceae",350,"5","TAM-05","TAM-05","T100","brasiliense","Calophyllaceae","Calophyllum brasiliense","Cambess.",399,"2011.652"
"58",11622,"T100",56185,"Pouteria durlandii",501429,"Pouteria",24801,"Sapotaceae",377,"4","TAM-06",NA,NA,NA,NA,NA,NA,260,"2011.6725"
"59",12207,"T100",635291,"Freziera parva",246833,"Freziera",26059,"Pentaphylacaceae",306,"3","TRU-04",NA,NA,NA,NA,NA,NA,0,"2011.575"
"60",13266,"T100",633084,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"2","WAY-01",NA,NA,NA,NA,NA,NA,177,"2011.896"
"61",3741,"T1000",1106826,"Unonopsis spectabilis",607439,"Unonopsis",1245,"Annonaceae",407,"21","PAN-02",NA,NA,NA,NA,NA,NA,136,"2013.241"
"62",8293,"T1000",637721,"Ilex gabrielleana",316056,"Ilex",2161,"Aquifoliaceae",12,"27","SPD-01",NA,NA,NA,NA,NA,NA,126,"2011.808"
"63",14164,"T1000",633982,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"22","WAY-01",NA,NA,NA,NA,NA,NA,161,"2011.896"
"64",8294,"T1001",637722,"Saurauia peruviana",538696,"Saurauia",434,"Actinidiaceae",182,"27","SPD-01",NA,NA,NA,NA,NA,NA,200,"2011.808"
"65",14165,"T1001",633983,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"22","WAY-01",NA,NA,NA,NA,NA,NA,177,"2011.896"
"66",10694,"T100.1",55368,"Licania heteromorpha",358958,"Licania",8654,"Chrysobalanaceae",324,"5","TAM-05",NA,NA,NA,NA,NA,NA,138,"2011.652"
"67",8295,"T1002",637723,"Caryocar indet",636428,"Caryocar",8119,"Caryocaraceae",145,"27","SPD-01",NA,NA,NA,NA,NA,NA,106,"2011.808"
"68",14166,"T1002",633984,"Weinmannia reticulata",622077,"Weinmannia",9498,"Cunoniaceae",347,"22","WAY-01",NA,NA,NA,NA,NA,NA,181,"2011.896"
"69",11151,"T100.2",562235,"Matisia ochrocalyx",397552,"Matisia",6401,"Malvaceae",418,"5","TAM-05",NA,NA,NA,NA,NA,NA,100,"2011.652"
"70",8712,"T100.2A",638139,"Faramea bangii",236204,"Faramea",23508,"Rubiaceae",455,"4","SPD-01",NA,NA,NA,NA,NA,NA,108,"2011.808"
"71",8296,"T1003",637724,"Cyathea indet",650340,"Cyathea",22031,"Cyatheaceae",470,"27","SPD-01",NA,NA,NA,NA,NA,NA,103,"2011.808"
"72",14167,"T1003",633985,"Brunellia inermis",78587,"Brunellia",7331,"Brunelliaceae",21,"22","WAY-01",NA,NA,NA,NA,NA,NA,0,"2011.896"
"73",8297,"T1004",637725,"Inga indet",640193,"Inga",11884,"Fabaceae",423,"28","SPD-01",NA,NA,NA,NA,NA,NA,231,"2011.808"
"74",14168,"T1004",633986,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"22","WAY-01",NA,NA,NA,NA,NA,NA,124,"2011.896"
"75",8298,"T1005",637726,"Guatteria glauca",275265,"Guatteria",1147,"Annonaceae",407,"28","SPD-01",NA,NA,NA,NA,NA,NA,108,"2011.808"
"76",14169,"T1005",633987,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"22","WAY-01",NA,NA,NA,NA,NA,NA,142,"2011.896"
"77",8299,"T1006",637727,"Talauma amazonica",582499,"Talauma",15565,"Magnoliaceae",164,"28","SPD-01",NA,NA,NA,NA,NA,NA,117,"2011.808"
"78",14170,"T1006",633988,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"22","WAY-01",NA,NA,NA,NA,NA,NA,152,"2011.896"
