"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","0.0246498540582411","0.0248137814643505","0.0249695781401407","4.2085987933919e-05","4.48585496386024e-05","4.85657646402975e-05","0.152713460047357","0.355689532224604","0.993231193398729","2.42278030951679","3.61092623350474","10.4175552211679"
"2","TAM-06","0.0242672944203095","0.0245060060139868","0.0247464752885849","4.82575109630373e-05","5.30743076809094e-05","5.92038502702885e-05","0.330700090567996","0.711792242215109","1.3009650291312","4.03535207648484","6.00632231960602","10.7022560313526"
"3","ACJ-01","0.0216067479219766","0.0218369258256794","0.0220848157041894","3.05550680313697e-05","3.5777569704687e-05","4.17986848226483e-05","0.890534600615525","1.52362424532245","2.45528027988502","4.2074251055223","8.98913013020492","19.3939244985716"
"4","ESP-01","0.0218344812016707","0.0220072730769352","0.0221734333889262","2.28156303014375e-05","2.47811036876843e-05","2.70135389535262e-05","0.583787323643067","0.762655395706711","0.948043349455607","3.52118211379471","4.03978357012768","4.75740419490227"
"5","PAN-02","0.0256619159058716","0.0259123972144393","0.0261868624633525","4.24515270943733e-05","4.60845073057498e-05","4.99779675893351e-05","0.396538271783724","0.551651613370164","0.711893594099078","2.87345120449572","3.2486329164177","3.77810959869819"
"6","PAN-03","0.0240283161506044","0.0243218895182603","0.0246327566785965","4.91069767404859e-05","5.69420294254345e-05","6.63360039070012e-05","0.867738760628496","1.34866830835319","2.06630628769488","4.35337408985326","7.31294862127156","12.9927887126818"
"7","SPD-02","0.0267042445637759","0.0269456677789014","0.0272071108810444","3.66741407316425e-05","4.06267190578468e-05","4.59276796583272e-05","0.028025901647957","0.427766284148968","1.15957330427548","2.85478622137768","4.9538309895868","11.8605878280636"
"8","TRU-04","0.0230242457632208","0.0232239849132652","0.0234279344535593","4.15613613082075e-05","4.42634129258746e-05","4.720550934947e-05","0.383835726341724","0.480027458299291","0.606151012256703","2.38325573601895","2.63097610525577","3.08829930134897"
"9","WAY-01","0.018634640285565","0.0188089850515775","0.018986673541725","2.32958372291294e-05","2.51516931299892e-05","2.717236569357e-05","0.73272985176086","0.889905452005785","1.07585098561738","3.90246934651369","4.48405875582579","5.31813159259242"
"10","TAM-05","0.024162030914214","0.0244006566874768","0.0246336119229548","3.366441540239e-05","3.78512412499658e-05","4.31501412384317e-05","0.46023042744638","0.891087802127426","1.7043024862798","3.68165837665","6.11810468361153","12.9419934615955"
