"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","0.0246464491549904","0.0248099562877881","0.0249636138085427","4.14280931903874e-05","4.3558378147786e-05","4.56035369868911e-05","0.170030634454042","0.240542808965834","0.315096759985431","2.32645853510804","2.46556175512621","2.6094305129703"
"2","TAM-06","0.0238870430930525","0.0241422897887279","0.024393656191065","4.2146473111119e-05","4.53341137629877e-05","4.85046523282314e-05","0.41014349441288","0.533281764266584","0.653720630893816","3.3439212660351","3.60855878473357","3.87039932868323"
"3","ACJ-01","0.0215626904775372","0.0217917220434248","0.022023092857023","2.9600699635675e-05","3.24072887791305e-05","3.54572886111565e-05","0.767880197794574","0.946299775813821","1.11929373716106","3.48174627369492","4.2340645169261","4.90083286947859"
"4","ESP-01","0.0218295192050542","0.0220089159104099","0.022195059482643","2.29324876747696e-05","2.47630523338232e-05","2.69699792056662e-05","0.604240185817152","0.762491255037102","0.926477236887606","3.53131979184773","3.98810843203294","4.60237550729487"
"5","PAN-02","0.0254993560546667","0.0257629964425958","0.0260493800751676","4.48583869939771e-05","4.85680215783828e-05","5.20573955624701e-05","0.444660845072863","0.561106797208691","0.668833321882999","2.88341441992449","3.08491680229443","3.32912709163883"
"6","PAN-03","0.0239042039743971","0.0241643784064198","0.024446722643967","4.51884833642094e-05","4.90974471386701e-05","5.33437107062953e-05","0.568884649913862","0.69866040202684","0.811680563785666","3.03593113530747","3.31895199026111","3.60196328683422"
"7","SPD-02","0.0266049899021214","0.0268444275776916","0.0270784734458231","3.73347289558281e-05","3.99204457962703e-05","4.27513572293414e-05","-0.0801799659034743","0.0534652510986482","0.169178928348243","2.68765901663081","2.90104413230571","3.12046147580434"
"8","TRU-04","0.0229929957526497","0.0232203512284886","0.0234329908732497","4.12975692349527e-05","4.41069120411533e-05","4.6826481307874e-05","0.378925635807249","0.466461193696382","0.551860072574711","2.37303788317982","2.55895910352204","2.76709165435796"
"9","WAY-01","0.0186439623118051","0.0188238026312793","0.0190089321352282","2.3264168639091e-05","2.50392489262738e-05","2.67382663676687e-05","0.764921401162888","0.90242326485411","1.06364993671605","3.87111079940462","4.40802767952127","5.05538765195258"
"10","TAM-05","0.0241942772283616","0.0244263709072042","0.0246823183707404","3.4042923062135e-05","3.69223862849077e-05","3.97797249925487e-05","0.407740049179678","0.564392953786405","0.70910103213126","3.3594692666706","3.70147766446066","4.05748525021155"
