"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","6.81049119491825","6.90418170650665","6.99974482740715","9.93447716262125","10.2437901153252","10.5376351167945","-0.521026045757237","-0.466312974928634","-0.414234593824622","1.57960228185267","1.63607299011397","1.7011511629726"
"2","TAM-06","6.62199142968209","6.81723835565983","6.9974548387373","8.26988851163258","8.91328789984699","9.50699945938396","-0.583792078520797","-0.478079175357464","-0.370770936768686","1.82078972740826","1.95912826626398","2.11569836481762"
"3","ACJ-01","8.52937852055116","8.63697501927332","8.7455540139593","5.90890872279844","6.51848208380027","7.16438668856752","-1.88067754717965","-1.74630135478883","-1.61810364053474","4.16424765873027","4.65583071672052","5.2217314034301"
"4","ESP-01","6.39507763770638","6.5585288031402","6.72082477738122","9.39107160064133","9.8914141398445","10.4143626112389","-0.435947467919595","-0.352674535493187","-0.267309635044976","1.62135287754273","1.70708952151903","1.79793204407142"
"5","PAN-02","6.45151578976609","6.6519058246875","6.84657501608053","10.5401783977358","11.2904299253625","11.9633060923548","-0.595563925957889","-0.497126758356804","-0.387280051715646","1.69544069821781","1.8227362327193","1.97027496620533"
"6","PAN-03","6.56859774762745","6.74131355778835","6.91033881078982","8.4091513215483","8.96373086168909","9.53065415986413","-0.607943744814632","-0.512996179015704","-0.414234356835586","1.88999337672076","2.02383895065832","2.17313095389948"
"7","SPD-02","6.5645152404554","6.72190165758708","6.86207668240883","9.83007001788241","10.3493561267659","10.9155021222784","-0.553260449553708","-0.475104263370877","-0.391459092486381","1.65701521563629","1.75430348294103","1.85796712588011"
"8","TRU-04","6.4537279273646","6.59461049252553","6.73615205295066","8.86306713798222","9.29702285226714","9.69960592844332","-0.327137562115375","-0.251232745471592","-0.17891034644822","1.54596662629654","1.61008153048252","1.67688857972003"
"9","WAY-01","6.51856920406291","6.65718614097322","6.80138680322294","9.98854465181656","10.465843843755","10.9479838600934","-0.538122352276475","-0.461844799556685","-0.387216475822488","1.70612363293781","1.79733032224294","1.89863308780451"
"10","TAM-05","6.7331015197823","6.87561954019732","7.02709380883026","9.51342314121707","10.0711604230409","10.6449076121676","-0.686539164488451","-0.598162806615974","-0.515834773371397","1.8692058177499","2.00233215961973","2.15737482513084"
