"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","11.0118949621156","11.1763492432113","11.3504108854296","45.06620662288","49.8454942878651","57.0990885400454","3.11735493831115","3.42391551522053","4.17413602376464","23.2783590170643","27.2122843044781","38.5041852792582"
"2","TAM-06","12.038503225925","12.309356011029","12.5670302403113","29.3259687858973","35.2394535928577","45.3212725502734","1.13442118846653","1.99630619829035","4.2329224151006","4.93524775674229","13.4879339953669","49.6579681082165"
"3","ACJ-01","7.66101859259694","7.84515792169604","8.03974884414294","16.3877175799256","22.2121809821204","30.1347261196175","3.11026699359568","4.44019350987064","6.34191918005703","19.3724452960561","36.0169470297513","67.5219145875307"
"4","ESP-01","8.51104762743595","8.66274011274868","8.82441900784672","13.4507437012237","15.4638041737648","19.2471992157019","1.39747433645158","1.90362270160518","4.04071581715341","5.617046669678","10.9737244629434","44.2016683946067"
"5","PAN-02","11.3616215976521","11.751223110448","12.1906263490608","40.5463630193064","56.1093607787732","82.8463162032057","2.38644871388385","3.60026824989563","6.27817361195183","10.7771908435367","25.0756595845521","72.151573276387"
"6","PAN-03","17.6253120567131","18.5364034588833","19.5296321740485","214.57143169376","270.664603409501","342.905214650775","1.88369172826565","2.4205435847602","3.42578683716188","6.69927507993763","11.4776702417202","23.6197096882411"
"7","SPD-02","10.4207229575543","10.630251140966","10.8499179389624","26.9928536962421","32.76916499609","42.738490844525","1.2911011763803","2.14157277267526","4.30832049993369","4.44656893417418","13.568820622678","46.7422022944286"
"8","TRU-04","8.99007684283496","9.12145832244374","9.25138272926516","12.9536240343289","14.3412613833806","16.2433264544218","0.828121126221194","1.15170623701162","2.07699731090563","3.57386463833809","5.94527509670433","17.2408279407295"
"9","WAY-01","10.6913175457231","11.9886078578414","13.3437041155111","365.080369954235","736.273989637237","1307.85730401577","6.67641600411924","9.07627462687226","13.2656818948404","55.9804682644962","112.154823596985","246.822719048131"
"10","TAM-05","10.6076064718367","10.8716853601253","11.1364511212347","26.7972518356096","34.301557876815","46.8732996907112","1.99223285304369","3.05167036046585","5.24485674429547","9.37287676542085","21.4476343673263","57.6727127860293"
