"","plot_i","sp_i","level_used","sample_size"
"1","SPD-01","Miconia indet","b","30"
"2","TAM-06","Socratea exorrhiza","h","1"
"3","TAM-06","Neea divaricata","h","23"
"4","ACJ-01","Symplocos quitensis","a","15"
"5","ESP-01","Clusia trochiformis","a","17"
"6","PAN-02","Marila laxiflora","a","12"
"7","PAN-03","Aspidosperma indet","f","15"
"8","SPD-01","Alzatea verticillata","a","9"
"9","SPD-02","Staphylea occidentalis","a","10"
"10","TAM-06","Swartzia arborescens","f","74"
"11","TRU-04","Persea indet","a","21"
"12","WAY-01","Weinmannia crassifolia","a","20"
"13","ESP-01","Brunellia inermis","b","3"
"14","PAN-02","Senefeldera inclinata","a","17"
"15","PAN-03","Faramea torquata","a","18"
"16","SPD-01","Tapirira indet","a","9"
"17","SPD-02","Alsophila erinacea","e","9"
"18","TAM-05","Xylopia indet","f","35"
"19","TAM-06","Rinorea viridifolia","f","12"
"20","TRU-04","Meliosma indet","b","6"
"21","ACJ-01","Miconia alpina","a","19"
"22","ESP-01","Cyathea indet","b","9"
"23","PAN-03","Alchornea triplinervia","d","70"
"24","SPD-01","Alchornea latifolia","a","15"
"25","SPD-02","Tapirira obtusa","a","6"
"26","TAM-05","Calophyllum brasiliense","a","12"
"27","TAM-06","Pouteria durlandii","c","6"
"28","TRU-04","Freziera parva","a","21"
"29","PAN-02","Unonopsis spectabilis","f","35"
"30","SPD-01","Ilex gabrielleana","a","15"
"31","SPD-01","Saurauia peruviana","h","11"
"32","TAM-05","Licania heteromorpha","a","18"
"33","SPD-01","Caryocar indet","a","6"
"34","WAY-01","Weinmannia reticulata","a","9"
"35","TAM-05","Matisia ochrocalyx","e","12"
"36","SPD-01","Faramea bangii","d","18"
"37","SPD-01","Cyathea indet","b","9"
"38","WAY-01","Brunellia inermis","a","3"
"39","SPD-01","Inga indet","a","12"
"40","SPD-01","Guatteria glauca","a","17"
"41","SPD-01","Talauma amazonica","h","4"
"42","WAY-01","Weinmannia bangii","a","8"
"43","ESP-01","Mollinedia ovata","d","18"
"44","PAN-03","Pourouma mollis","a","12"
"45","SPD-02","Cyathea indet","a","9"
"46","TAM-05","Endlicheria rubriflora","d","18"
"47","TRU-04","Hedyosmum goudotianum","a","21"
"48","SPD-01","Protium montanum","a","12"
"49","SPD-01","Alsophila indet","f","24"
"50","WAY-01","Clethra cuneata","a","15"
"51","SPD-01","Hedyosmum indet","b","30"
"52","WAY-01","Schefflera allocotantha","f","31"
